1,大坂冬の陣勃発（1614年 - 慶長19年11月19日）,（1614年 - 慶長19年11月19日）
2,伊勢暴動勃発（1876年）,（1876年）
3,日本初の公式飛行実験（1910年）,（1910年）
4,第一次インドシナ戦争勃発（1946年）,（1946年）
5,原子力基本法公布（1955年）,（1955年）
6,ザンジバル王国（ザンジバル、後のタンザニアの一部）がイギリスから独立（1963年）,（1963年）
7,村山雅美が日本人初の南極点到達（1968年）,（1968年）
8,中英連合声明で両国が香港返還で合意（1984年）,（1984年）
